,gp,District,variable,value,consis_from,auc
57,train_G,G440205,auc_value,0.785045,G,train
58,train_G,G440282,auc_value,0.7918522,G,train
59,train_G,G440305,auc_value,0.7651387999999999,G,train
60,train_G,G440606,auc_value,0.7800311000000001,G,train
61,train_G,G440883,auc_value,0.8562482000000001,G,train
62,train_G,G440981,auc_value,0.7985701000000001,G,train
63,train_G,G441284,auc_value,0.7751531,G,train
64,train_G,G441303,auc_value,0.8186522,G,train
65,train_G,G441424,auc_value,0.8149665,G,train
66,train_G,G441502,auc_value,0.7884990999999999,G,train
67,train_G,G441802,auc_value,0.8245796999999999,G,train
68,train_G,G445224,auc_value,0.8434382999999999,G,train
69,train_G,G445302,auc_value,0.7859273,G,train
70,train_G+S,G440104,auc_value,0.7031662,G+S,train
71,train_G+S,G440205,auc_value,0.6909326999999998,G+S,train
72,train_G+S,G440282,auc_value,0.7241795,G+S,train
73,train_G+S,G440305,auc_value,0.7051833,G+S,train
74,train_G+S,G440606,auc_value,0.7061869999999999,G+S,train
75,train_G+S,G440883,auc_value,0.7629097,G+S,train
76,train_G+S,G440981,auc_value,0.6943881999999999,G+S,train
77,train_G+S,G441284,auc_value,0.6848094,G+S,train
78,train_G+S,G441303,auc_value,0.6986179,G+S,train
79,train_G+S,G441424,auc_value,0.7147660000000001,G+S,train
80,train_G+S,G441502,auc_value,0.7149867999999999,G+S,train
81,train_G+S,G441802,auc_value,0.7268631,G+S,train
82,train_G+S,G445224,auc_value,0.7683675999999999,G+S,train
83,train_G+S,G445302,auc_value,0.7397703,G+S,train
84,train_S,G440104,auc_value,0.7842576,S,train
85,train_S,G440205,auc_value,0.8154702,S,train
86,train_S,G440282,auc_value,0.8204042000000001,S,train
87,train_S,G440305,auc_value,0.7430054,S,train
88,train_S,G440606,auc_value,0.7642224999999999,S,train
89,train_S,G440883,auc_value,0.7573026,S,train
90,train_S,G440981,auc_value,0.8326986,S,train
91,train_S,G441284,auc_value,0.7783492000000001,S,train
92,train_S,G441303,auc_value,0.8225752999999999,S,train
93,train_S,G441424,auc_value,0.7821982,S,train
94,train_S,G441502,auc_value,0.7271329,S,train
95,train_S,G441802,auc_value,0.7970917000000001,S,train
96,train_S,G445224,auc_value,0.8531269,S,train
97,train_S,G445302,auc_value,0.7988075,S,train
98,train_all,G440104,auc_value,0.8551245,all,train
99,train_all,G440205,auc_value,0.7962465000000001,all,train
100,train_all,G440282,auc_value,0.8654874999999999,all,train
101,train_all,G440305,auc_value,0.7910312,all,train
102,train_all,G440606,auc_value,0.8195034999999999,all,train
103,train_all,G440883,auc_value,0.8598248999999999,all,train
104,train_all,G440981,auc_value,0.8181122999999999,all,train
105,train_all,G441284,auc_value,0.7683333000000001,all,train
106,train_all,G441303,auc_value,0.8762967999999999,all,train
107,train_all,G441424,auc_value,0.8094635,all,train
108,train_all,G441502,auc_value,0.782448,all,train
109,train_all,G441802,auc_value,0.8497030000000001,all,train
110,train_all,G445224,auc_value,0.8526636999999999,all,train
111,train_all,G445302,auc_value,0.8034568,all,train
112,valid_G,G440104,auc_value,0.6198952999999999,G,valid
113,valid_G,G440205,auc_value,0.6459632999999999,G,valid
114,valid_G,G440282,auc_value,0.6474416,G,valid
115,valid_G,G440305,auc_value,0.6410582,G,valid
116,valid_G,G440606,auc_value,0.6388977,G,valid
117,valid_G,G440883,auc_value,0.6648666000000001,G,valid
118,valid_G,G440981,auc_value,0.6440797,G,valid
119,valid_G,G441284,auc_value,0.6406740999999999,G,valid
120,valid_G,G441303,auc_value,0.6478426,G,valid
121,valid_G,G441424,auc_value,0.6520333,G,valid
122,valid_G,G441502,auc_value,0.6301350000000001,G,valid
123,valid_G,G441802,auc_value,0.6559466,G,valid
124,valid_G,G445224,auc_value,0.6475605999999999,G,valid
125,valid_G,G445302,auc_value,0.6476149,G,valid
126,valid_G+S,G440104,auc_value,0.607931,G+S,valid
127,valid_G+S,G440205,auc_value,0.6069750999999999,G+S,valid
128,valid_G+S,G440282,auc_value,0.6133689,G+S,valid
129,valid_G+S,G440305,auc_value,0.6245780999999999,G+S,valid
130,valid_G+S,G440606,auc_value,0.6030806999999999,G+S,valid
131,valid_G+S,G440883,auc_value,0.6178195999999999,G+S,valid
132,valid_G+S,G440981,auc_value,0.6104289,G+S,valid
133,valid_G+S,G441284,auc_value,0.6139386,G+S,valid
134,valid_G+S,G441303,auc_value,0.6038690999999999,G+S,valid
135,valid_G+S,G441424,auc_value,0.6221646000000001,G+S,valid
136,valid_G+S,G441502,auc_value,0.6226258,G+S,valid
137,valid_G+S,G441802,auc_value,0.6240062,G+S,valid
138,valid_G+S,G445224,auc_value,0.6192636,G+S,valid
139,valid_G+S,G445302,auc_value,0.6183137000000001,G+S,valid
140,valid_S,G440104,auc_value,0.6097887,S,valid
141,valid_S,G440205,auc_value,0.6210034999999999,S,valid
142,valid_S,G440282,auc_value,0.6276151000000001,S,valid
143,valid_S,G440305,auc_value,0.6358402000000001,S,valid
144,valid_S,G440606,auc_value,0.6204892999999999,S,valid
145,valid_S,G440883,auc_value,0.6310139,S,valid
146,valid_S,G440981,auc_value,0.6443477000000001,S,valid
147,valid_S,G441284,auc_value,0.6288380000000001,S,valid
148,valid_S,G441303,auc_value,0.6236956,S,valid
149,valid_S,G441424,auc_value,0.6313284,S,valid
150,valid_S,G441502,auc_value,0.6108274,S,valid
151,valid_S,G441802,auc_value,0.6261241999999999,S,valid
152,valid_S,G445224,auc_value,0.6188437,S,valid
153,valid_S,G445302,auc_value,0.6278171,S,valid
154,valid_all,G440104,auc_value,0.6078936999999999,all,valid
155,valid_all,G440205,auc_value,0.6250093000000001,all,valid
156,valid_all,G440282,auc_value,0.6376329000000001,all,valid
157,valid_all,G440305,auc_value,0.6314692,all,valid
158,valid_all,G440606,auc_value,0.6400174,all,valid
159,valid_all,G440883,auc_value,0.6440258999999999,all,valid
160,valid_all,G440981,auc_value,0.6286205,all,valid
161,valid_all,G441284,auc_value,0.6288267,all,valid
162,valid_all,G441303,auc_value,0.632978,all,valid
163,valid_all,G441424,auc_value,0.6203934,all,valid
164,valid_all,G441502,auc_value,0.62282,all,valid
165,valid_all,G441802,auc_value,0.6360495000000002,all,valid
166,valid_all,G445224,auc_value,0.6427097999999999,all,valid
167,valid_all,G445302,auc_value,0.6347406,all,valid
